what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366984265540
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366984327203
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1366984328748
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Terminate",1366984328814
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1366984330137
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1366984337140
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366984341020
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366984342165
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.cleanAction",1366984342177
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366984342459
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366984343161
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366984343183
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366984348543
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1366984352795
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366984357024
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366984363313
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1366984388488
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1366984388662
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1366984388846
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1366984388974
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1366984396374
activated,perspective,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.JavaPerspective",1366984400154
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ResourceNavigator",1366984404965
